song_name,artist,album,genre,track_price_inr,album_price_inr,country,currency,is_streamable,duration_min,release_year,era,is_recent,price_category
Adhoore,"Vishal Dadlani, Alyssa Mendonsa & Vishal & Shekhar",Break Ke Baad (Original Motion Picture Soundtrack),Bollywood,15.0,80.0,IND,INR,True,4.4,2010,2000s,NO,Budget
Jo Tere Sang,Mustafa Zahid & Jeet Gannguli,Blood Money (Original Motion Picture Soundtrack),Bollywood,18.0,120.0,IND,INR,True,5.1,2012,2010s,NO,Premium
Nadiyon Paar (Let the Music Play Again),"Sachin-Jigar, Rashmeet Kaur, Shamur & IP Singh",Roohi (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,2.73,2021,2020s,YES,Premium
Kabira (Encore),"Pritam, Harshdeep & Arijit Singh",Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.51,2013,2010s,NO,Premium
Tere Naal,Akhil Sachdeva,Broken but Beautiful Season 3 (Original Series Soundtrack),TV Soundtrack,18.0,90.0,IND,INR,True,4.27,2021,2020s,YES,Premium
Din Shagna Da,Jasleen Royal,Phillauri (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,3.59,2017,2015s,NO,Premium
Humdard,Arijit Singh,Ek Villain (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,4.34,2014,2010s,NO,Premium
Jo Bhi Main,Mohit Chauhan,Rockstar (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.56,2011,2010s,NO,Premium
Be Intehaan,"Atif Aslam, Sunidhi Chauhan & Pritam",Race 2 (Original Motion Picture Soundtrack),Bollywood,18.0,120.0,IND,INR,True,4.85,2013,2010s,NO,Premium
Saiyaara Reprise - Female,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Shreya Ghoshal & Irshad Kamil",Saiyaara (Original Motion Picture Soundtrack),Bollywood,11.0,50.0,IND,INR,True,3.05,2025,2020s,YES,Budget
Ban Ja Rani,Guru Randhawa,Tumhari Sulu (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,3.77,2017,2015s,NO,Premium
Subha Hone Na De,"Pritam, Mika Singh & Shefali Alvares",Desi Boyz (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,4.81,2011,2010s,NO,Premium
Chammak Challo,Akon & Hamsika Iyer,Ra-One (Original Motion Picture Soundtrack),Bollywood,18.0,140.0,IND,INR,True,3.78,2011,2010s,NO,Premium
"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")","Pritam, Arijit Singh, Nikhita Gandhi & Amitabh Bhattacharya","Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"") - Single",Bollywood,18.0,18.0,IND,INR,True,4.43,2023,2020s,YES,Premium
Kamariya,"Aastha Gill, Sachin Sanghvi, Jigar Saraiya & Divya Kumar",Stree (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,3.13,2018,2015s,NO,Premium
"Tera Mera Pyar (From ""Tera Mera Pyar"")",Kumar Sanu,Best of Bollywood: Wedding Beats,Indian Pop,18.0,120.0,IND,INR,True,6.22,2004,2000s,NO,Premium
Tum Ho Toh,"Vishal Mishra, Hansika Pareek & Raj Shekhar",Saiyaara (Original Motion Picture Soundtrack),Bollywood,11.0,50.0,IND,INR,True,5.3,2025,2020s,YES,Budget
Pee Loon,Pritam & Mohit Chauhan,Once Upon a Time In Mumbaai (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.76,2010,2000s,NO,Premium
Badtameez Dil,"Pritam, Benny Dayal & Shefali Alvares",Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.21,2013,2010s,NO,Premium
O Rangrez,"Shankar Ehsaan Loy, Shreya Ghoshal & Javed Bashir",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Bollywood,18.0,140.0,IND,INR,True,6.41,2013,2010s,NO,Premium
Abhi Toh Party Shuru Hui Hai,Badshah & Aastha,Khoobsurat (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,3.0,2014,2010s,NO,Premium
Tu Hai Ki Nahi,Ankit Tiwari,Roy (Original Motion Picture Soundtrack),Bollywood,18.0,80.0,IND,INR,True,5.57,2015,2010s,NO,Premium
"Manike (From ""Thank God"")","Yohani, Jubin Nautiyal, Tanishk Bagchi, Surya Ragunnathan, Surya Ragunaathan, Chamath Sangeeth, Rashmi Virag, Dulan ARX & Mellow D","Manike (From ""Thank God"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.29,2022,2020s,YES,Premium
Bekhayali (Arijit Singh Version),Arijit Singh,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,6.17,2019,2015s,NO,Premium
Dus Bahane,Shaan & KK,Dus (Original Motion Picture Soundtrack),Bollywood,15.0,100.0,IND,INR,True,3.45,2005,2000s,NO,Budget
Tujhe Kitna Chahein Aur (Film Version),Jubin Nautiyal,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.6,2019,2015s,NO,Premium
London Thumakda,"Labh Janjua, Sonu Kakkar, Neha Kakkar & Amit Trivedi",Queen (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,3.84,2014,2010s,NO,Premium
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi & Amitabh Bhattacharya","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"") - Single",Bollywood,18.0,18.0,IND,INR,True,4.12,2023,2020s,YES,Premium
I Hate Luv Storys,Vishal & Shekhar & Vishal Dadlani,I Hate Luv Storys (Original Motion Picture Soundtrack),Bollywood,18.0,140.0,IND,INR,True,4.75,2010,2000s,NO,Premium
Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar & Indeep Bakshi",Baar Baar Dekho (Original Motion Picture Soundtrack),Bollywood,18.0,108.0,IND,INR,True,3.12,2016,2015s,NO,Premium
Sheila Ki Jawani,"Sunidhi Chauhan, Vishal Dadlani & Vishal & Shekhar",Tees Maar Khan (Original Motion Picture Soundtrack),Bollywood,15.0,80.0,IND,INR,True,4.7,2010,2000s,NO,Budget
Guzarish,Javed Ali & Sonu Nigam,Ghajini (Original Motion Picture Soundtrack),Bollywood,15.0,80.0,IND,INR,True,5.45,2008,2000s,NO,Budget
Dil Chahta Hai,Shankar Mahadevan,Dil Chahta Hai (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,5.17,2001,2000s,NO,Premium
Kiska Rasta Dekhe,Kishore Kumar,Joshila (Original Soundtrack),Soundtrack,15.0,70.0,IND,INR,True,4.3,1973,,NO,Budget
Yeh Aaina,Amaal Mallik & Shreya Ghoshal,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,5.19,2019,2015s,NO,Premium
Kahin To,Rashid Ali & Vasundhara Das,Jaane Tu... Ya Jaane Na (Original Motion Picture Soundtrack),Bollywood,15.0,80.0,IND,INR,True,5.05,2008,2000s,NO,Budget
Khairiyat (Happy),Pritam & Arijit Singh,Chhichhore (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.51,2019,2015s,NO,Premium
The Breakup Song,"Pritam, Arijit Singh, Badshah, Jonita Gandhi & Nakash Aziz",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.21,2016,2015s,NO,Premium
Mehrama,"Pritam, Darshan Raval & Antara Mitra",Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,18.0,190.0,IND,INR,True,4.16,2020,2015s,NO,Premium
Beqaaboo,"OAFF, Savera, Shalmali Kholgade & Kausar Munir",Gehraiyaan (Original Motion Picture Soundtrack),Bollywood,18.0,108.0,IND,INR,True,3.12,2022,2020s,YES,Premium
Dil Kya Kare,Kishore Kumar,Julie (Original Motion Picture Soundtrack) - EP,Soundtrack,15.0,90.0,IND,INR,True,6.73,1975,,NO,Budget
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Jonita Gandhi, Ranveer Singh, Madan Mohan & Amitabh Bhattacharya","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.56,2023,2020s,YES,Premium
Tu Meri,Vishal Dadlani & Vishal & Shekhar,Bang Bang (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,4.28,2014,2010s,NO,Premium
Señorita,"Farhan Akhtar, Hrithik Roshan, Abhay Deol & Maria Del Mar Fernandez",Zindagi Na Milegi Dobara (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,3.83,2011,2010s,NO,Premium
