song_name,artist,album,genre,track_price_inr,album_price_inr,country,currency,is_streamable,duration_min,release_year,era,is_recent,price_category
Jhoome Jo Pathaan,"Vishal & Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani & Shekhar Ravjiani",Pathaan (Original Motion Picture Soundtrack),Bollywood,11.0,-1.0,IND,INR,True,3.47,2022,2020s,YES,Budget
O Saathi,Atif Aslam,Baaghi 2 (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,4.2,2018,2015s,NO,Premium
Maahi Ve,A.R. Rahman,Highway (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.01,2014,2010s,NO,Premium
Tune Jo Na Kaha,Mohit Chauhan,New York (Original Motion Picture Soundtrack),Bollywood,11.0,50.0,IND,INR,True,5.17,2009,2000s,NO,Budget
"Ranjha (From ""Shershaah"")",Jasleen Royal & B. Praak,"Ranjha (From ""Shershaah"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.81,2021,2020s,YES,Premium
Bekhayali,Sachet Tandon,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,6.2,2019,2015s,NO,Premium
Chaiyya Chaiyya,Sukhwinder Singh & Sapna Awasthi,Dil Se (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,6.78,1998,90s,NO,Premium
"Shayad (From ""Love Aaj Kal"")",Pritam & Arijit Singh,"Shayad (From ""Love Aaj Kal"") - Single",Bollywood,18.0,18.0,IND,INR,True,4.13,2020,2015s,NO,Premium
Qaafirana,Arijit Singh & Nikhita Gandhi,Kedarnath (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,5.7,2018,2015s,NO,Premium
Agar Tum Saath Ho,Alka Yagnik & Arijit Singh,Tamasha (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,5.68,2015,2010s,NO,Premium
Pehla Pyaar,Vishal Mishra & Armaan Malik,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.54,2019,2015s,NO,Premium
Naina Da Kya Kasoor,Amit Trivedi,Andhadhun (Original Motion Picture Soundtrack),Bollywood,18.0,120.0,IND,INR,True,3.52,2018,2015s,NO,Premium
Tere Liye,Atif Aslam & Shreya Ghoshal,Prince (Original Motion Picture Soundtrack),Bollywood,15.0,240.0,IND,INR,True,4.66,2010,2000s,NO,Budget
Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu... Ya Jaane Na (Original Motion Picture Soundtrack),Bollywood,15.0,80.0,IND,INR,True,3.65,2008,2000s,NO,Budget
Bollywood (Acoustic Guitar),New Years Eve Romantic Song Specialists,"New Years Eve Romantic Dinner – Smooth Jazz, Lounge & Sexy Guitar Dinner Music for New Year's Eve Romantic Night",Instrumental,15.0,120.0,IND,INR,True,4.97,2015,2010s,NO,Budget
My Dil Goes Mmmm,"Vishal & Shekhar, Gayatri Iyer & Shaan",Salaam Namaste (Original Motion Picture Soundtrack),Bollywood,11.0,50.0,IND,INR,True,7.55,2005,2000s,NO,Budget
Maula Mere Maula,Roop Kumar Rathod,Anwar (Original Motion Picture Soundtrack),Bollywood,18.0,120.0,IND,INR,True,6.07,2006,2000s,NO,Premium
"Ghungroo (From ""War"")","Arijit Singh, Shilpa Rao & Vishal & Shekhar","Ghungroo (From ""War"") - Single",Bollywood,18.0,18.0,IND,INR,True,5.05,2019,2015s,NO,Premium
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh & Amitabh Bhattacharya","Kesariya (From ""Brahmastra"") - Single",Bollywood,18.0,18.0,IND,INR,True,4.47,2022,2020s,YES,Premium
The Humma Song,"A.R. Rahman, Badshah, Tanishk Bagchi, Shashaa Tirupati & Jubin Nautiyal",OK Jaanu (Original Motion Picture Soundtrack),Bollywood,18.0,140.0,IND,INR,True,2.99,2016,2015s,NO,Premium
Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami & Irshad Kamil",Saiyaara (Original Motion Picture Soundtrack),Bollywood,11.0,50.0,IND,INR,True,6.18,2025,2020s,YES,Budget
Kalank (Title Track),Arijit Singh,Kalank (Original Motion Picture Soundtrack),Bollywood,18.0,120.0,IND,INR,True,5.19,2018,2015s,NO,Premium
Nadaan Parinde,A.R. Rahman & Mohit Chauhan,Rockstar (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,6.4,2011,2010s,NO,Premium
"Deva Deva (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya & Jonita Gandhi","Deva Deva (From ""Brahmastra"") - Single",Bollywood,18.0,18.0,IND,INR,True,4.65,2022,2020s,YES,Premium
Makhna,"Tanishk Bagchi, Yasser Desai & Asees Kaur",Drive (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,3.05,2019,2015s,NO,Premium
Raabta,Pritam & Arijit Singh,Agent Vinod (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,4.06,2012,2010s,NO,Premium
Kya Mujhe Pyaar Hai,Pritam & KK,Woh Lamhe (Original Motion Picture Soundtrack),Bollywood,18.0,80.0,IND,INR,True,4.44,2006,2000s,NO,Premium
Yeh Fitoor Mera,Arijit Singh,Fitoor (Original Motion Picture Soundtrack),Bollywood,18.0,120.0,IND,INR,True,4.72,2016,2015s,NO,Premium
Channa Mereya,Pritam & Arijit Singh,Ae Dil Hai Mushkil (Deluxe Edition) [Original Motion Picture Soundtrack],Bollywood,18.0,160.0,IND,INR,True,4.82,2016,2015s,NO,Premium
Bin Tere,"Shafqat Amanat Ali, Vishal & Shekhar & Sunidhi Chauhan",I Hate Luv Storys (Original Motion Picture Soundtrack),Bollywood,18.0,140.0,IND,INR,True,5.51,2010,2000s,NO,Premium
Tujhe Bhula Diya,"Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak & Vishal & Shekhar",Anjaana Anjaani (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.66,2010,2000s,NO,Premium
Ye Tune Kya Kiya,Pritam & Javed Bashir,Once Upon Ay Time In Mumbai Dobaara! (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,5.24,2013,2010s,NO,Premium
Main Rang Sharbaton Ka,"Atif Aslam, Chinmayi Sripada & Pritam",Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),Bollywood,18.0,140.0,IND,INR,True,4.39,2013,2010s,NO,Premium
Kesariya,"Pritam, Arijit Singh & Amitabh Bhattacharya",Brahmastra (Original Motion Picture Soundtrack),Bollywood,18.0,162.0,IND,INR,True,4.47,2022,2020s,YES,Premium
Nashe Si Chadh Gayi,"Vishal & Shekhar, Arijit Singh & Caralisa Monteiro",Befikre (Original Motion Picture Soundtrack),Bollywood,11.0,50.0,IND,INR,True,4.08,2016,2015s,NO,Budget
"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon & Kausar Munir","Raanjhan (From ""Do Patti"") - Single",Bollywood,18.0,18.0,IND,INR,True,4.0,2024,2020s,YES,Premium
Kun Faya Kun,"A.R. Rahman, Javed Ali & Mohit Chauhan",Rockstar (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,7.84,2011,2010s,NO,Premium
"Soni Soni (From ""Ishq Vishk Rebound"")","Darshan Raval, Jonita Gandhi & Rochak Kohli",Ishq Vishk Rebound (Original Motion Picture Soundtrack),Soundtrack,18.0,120.0,IND,INR,True,2.95,2024,2020s,YES,Premium
Satranga,"Arijit Singh, Shreyas Puranik & Siddharth-Garima",ANIMAL (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,4.52,2023,2020s,YES,Premium
Raanjhanaa,"A.R. Rahman, Jaswinder Singh & Shiraz Uppal",Raanjhanaa (Original Motion Picture Soundtrack),Bollywood,18.0,160.0,IND,INR,True,4.24,2013,2010s,NO,Premium
Akhiyaan Gulaab,Mitraz,Teri Baaton Mein Aisa Uljha Jiya (Original Motion Picture Soundtrack) - EP,Bollywood,18.0,60.0,IND,INR,True,2.85,2024,2020s,YES,Premium
Jaiye Sajana,"Shashwat Sachdev, Jasmine Sandlas & Satinder Sartaaj",Dhurandhar The Revenge (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,2.99,2026,2020s,YES,Premium
Kar Gayi Chull,"Badshah, Amaal Mallik, Fazilpuria, Sukriti Kakar & Neha Kakkar",Kapoor & Sons (Since 1921) [Original Motion Picture Soundtrack],Bollywood,18.0,90.0,IND,INR,True,3.13,2016,2015s,NO,Premium
Enna Sona,A.R. Rahman & Arijit Singh,OK Jaanu (Original Motion Picture Soundtrack),Bollywood,18.0,140.0,IND,INR,True,3.56,2016,2015s,NO,Premium
Paisa Hai Toh,"Sachin-Jigar, Vishal Dadlani, Mellow D & Jigar Saraiya",Farzi (Original Motion Picture Soundtrack) - Single,Bollywood,18.0,54.0,IND,INR,True,3.14,2023,2020s,YES,Premium
Barbaad,The Rish & Jubin Nautiyal,Saiyaara (Original Motion Picture Soundtrack),Bollywood,11.0,50.0,IND,INR,True,5.95,2025,2020s,YES,Budget
"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar, Dhvani Bhanusali, Ikka & Tanishk Bagchi","Dilbar (From ""Satyameva Jayate"") - Single",Bollywood,,,IND,INR,True,3.07,2018,2015s,NO,Premium
Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao & Kumaar",Jawan (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,3.34,2023,2020s,YES,Premium
Tainu Khabar Nahi,"Sachin-Jigar, Arijit Singh & Amitabh Bhattacharya",Munjya (Original Motion Picture Soundtrack),Bollywood,18.0,72.0,IND,INR,True,3.14,2024,2020s,YES,Premium
Tum Hi Ho,Mithoon & Arijit Singh,Aashiqui 2 (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,4.37,2013,2010s,NO,Premium
Besharam Rang,"Vishal & Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani & Shekhar Ravjiani",Pathaan (Original Motion Picture Soundtrack),Bollywood,11.0,-1.0,IND,INR,True,4.31,2022,2020s,YES,Budget
"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")",Darshan Raval & Rochak Kohli,"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"") - Single",Bollywood,18.0,18.0,IND,INR,True,2.59,2019,2015s,NO,Premium
Bollywood,Dreamgirl,Dreamgirl,Pop,15.0,120.0,IND,INR,True,3.6,2018,2015s,NO,Budget
"Doobey (From ""Gehraiyaan"")","OAFF, Savera, Lothika & Kausar Munir","Doobey (From ""Gehraiyaan"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.66,2022,2020s,YES,Premium
Hamari Adhuri Kahani (Title Track),Jeet Gannguli & Arijit Singh,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,6.65,2015,2010s,NO,Premium
Tere Bina,"A.R. Rahman, Chinmayi Sripada, Murtuza Khan & Qadir Khan",Guru (Original Motion Picture Soundtrack),Bollywood,18.0,120.0,IND,INR,True,5.16,2006,2000s,NO,Premium
Arjan Vailly,Manan Bhardwaj & Bhupinder Babbal,ANIMAL (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,3.04,2023,2020s,YES,Premium
"Aaj Ki Raat (From ""Stree 2"")","Madhubanti Bagchi, Divya Kumar, Sachin-Jigar & Amitabh Bhattacharya","Aaj Ki Raat (From ""Stree 2"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.81,2024,2020s,YES,Premium
Labon Ko,Pritam & KK,Bhool Bhulaiyaa (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,5.68,2007,2000s,NO,Premium
Kho Gaye Hum Kahan,Jasleen Royal & Prateek Kuhad,Baar Baar Dekho (Original Motion Picture Soundtrack),Bollywood,18.0,108.0,IND,INR,True,3.55,2016,2015s,NO,Premium
Kya Yahi Pyar Hai,Lata Mangeshkar & Kishore Kumar,Rocky (Original Soundtrack),Soundtrack,15.0,60.0,IND,INR,True,6.41,1981,80s,NO,Budget
Ajab Si,KK & Vishal & Shekhar,Om Shanti Om (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,4.03,2005,2000s,NO,Premium
Humnava,Mithoon & Papon,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,5.48,2015,2010s,NO,Premium
Sunn Raha Hai,Ankit Tiwari,Aashiqui 2 (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,6.5,2013,2010s,NO,Premium
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal & Asees Kaur","Raataan Lambiyan (From ""Shershaah"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.84,2021,2020s,YES,Premium
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Varun Jain, Shadab Faridi, Altamash Faridi & Amitabh Bhattacharya","Tere Vaaste (From ""Zara Hatke Zara Bachke"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.15,2023,2020s,YES,Premium
Channa Ve,Akhil Sachdeva & Mansheel Gujral,Channa Ve (Original Motion Picture Soundtrack) - Single,Bollywood,18.0,18.0,IND,INR,True,3.53,2020,2015s,NO,Premium
Ruk Ja O Dil Deewane,Udit Narayan,Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack) [Dialogues Version],Bollywood,18.0,120.0,IND,INR,True,5.21,1961,,NO,Premium
